packet_id,selected_for_repair_budget,annotation_origin,pre_repair_failure_type,elaborated,admit_count,axiom_count,proof_mode,imported_modules,outcome_summary
hp_graph_dijkstra_006__text_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_graph_dijkstra_007__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_graph_dijkstra_007__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_graph_dijkstra_007__naive_concat_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_graph_dijkstra_007__text_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Graph.DijkstraTheory,not_selected
hp_greedy_coin_change_canonical_004__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Greedy.CoinChangeCanonicalTheory,not_selected
hp_greedy_coin_change_canonical_004__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Greedy.CoinChangeCanonicalTheory,not_selected
hp_greedy_coin_change_canonical_004__naive_concat_v1,true,mapped_from_canonical,low_semantic_faithfulness;missing_critical_semantic_unit,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Greedy.CoinChangeCanonicalTheory,repaired_scaffold_alignment
hp_greedy_coin_change_canonical_004__text_only_v1,true,mapped_from_canonical,low_semantic_faithfulness;missing_critical_semantic_unit,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Greedy.CoinChangeCanonicalTheory,repaired_scaffold_alignment
hp_greedy_coin_change_canonical_005__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Greedy.CoinChangeCanonicalTheory,not_selected
hp_greedy_coin_change_canonical_005__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Greedy.CoinChangeCanonicalTheory,not_selected
hp_greedy_coin_change_canonical_005__naive_concat_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Greedy.CoinChangeCanonicalTheory,not_selected
hp_greedy_coin_change_canonical_005__text_only_v1,false,mapped_from_canonical,missing_critical_semantic_unit,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Greedy.CoinChangeCanonicalTheory,not_selected
hp_greedy_coin_change_canonical_006__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Greedy.CoinChangeCanonicalTheory,not_selected
hp_greedy_coin_change_canonical_006__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Greedy.CoinChangeCanonicalTheory,not_selected
hp_greedy_coin_change_canonical_006__naive_concat_v1,true,mapped_from_canonical,low_semantic_faithfulness;missing_critical_semantic_unit,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Greedy.CoinChangeCanonicalTheory,repaired_scaffold_alignment
hp_greedy_coin_change_canonical_006__text_only_v1,true,mapped_from_canonical,low_semantic_faithfulness;missing_critical_semantic_unit,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Greedy.CoinChangeCanonicalTheory,repaired_scaffold_alignment
hp_greedy_coin_change_canonical_007__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Greedy.CoinChangeCanonicalTheory,not_selected
hp_greedy_coin_change_canonical_007__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,true,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Benchmark.Greedy.CoinChangeCanonicalTheory,not_selected
