run_id,system_id,provider_name,provider_model,total_input_tokens,total_output_tokens,wall_clock_seconds,estimated_or_billed_cost_usd,cost_status,cost_reason_code,runner_hostname,runner_os,runner_arch,lean_check_time_seconds,manifest_path
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_694,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_694/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_695,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_695/run_manifest.json
run_2026_04_22_full_method_v1_dev_001,full_method_v1,stub,stub-local,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_full_method_v1_dev_001/run_manifest.json
run_2026_04_22_full_method_v1_eval_001,full_method_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_full_method_v1_eval_001/run_manifest.json
run_2026_04_22_full_method_v1_eval_002,full_method_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_full_method_v1_eval_002/run_manifest.json
run_2026_04_22_full_method_v1_eval_003,full_method_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_full_method_v1_eval_003/run_manifest.json
run_2026_04_22_full_method_v1_eval_full_001,full_method_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_full_method_v1_eval_full_001/run_manifest.json
run_2026_04_22_naive_concat_v1_dev_001,naive_concat_v1,stub,stub-local,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_naive_concat_v1_dev_001/run_manifest.json
run_2026_04_22_naive_concat_v1_eval_001,naive_concat_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_naive_concat_v1_eval_001/run_manifest.json
run_2026_04_22_naive_concat_v1_eval_002,naive_concat_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_naive_concat_v1_eval_002/run_manifest.json
run_2026_04_22_naive_concat_v1_eval_003,naive_concat_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_naive_concat_v1_eval_003/run_manifest.json
run_2026_04_22_naive_concat_v1_eval_full_001,naive_concat_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_naive_concat_v1_eval_full_001/run_manifest.json
run_2026_04_22_text_only_v1_dev_001,text_only_v1,stub,stub-local,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_text_only_v1_dev_001/run_manifest.json
run_2026_04_22_text_only_v1_eval_001,text_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_text_only_v1_eval_001/run_manifest.json
run_2026_04_22_text_only_v1_eval_002,text_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_text_only_v1_eval_002/run_manifest.json
run_2026_04_22_text_only_v1_eval_003,text_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_text_only_v1_eval_003/run_manifest.json
run_2026_04_23_code_only_v1_eval_zzzzzzzzzzzz_900,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_23_code_only_v1_eval_zzzzzzzzzzzz_900/run_manifest.json
run_2026_04_23_code_only_v1_eval_zzzzzzzzzzzz_901,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_23_code_only_v1_eval_zzzzzzzzzzzz_901/run_manifest.json
run_2026_04_23_code_only_v1_eval_zzzzzzzzzzzz_902,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_23_code_only_v1_eval_zzzzzzzzzzzz_902/run_manifest.json
run_2026_04_23_naive_concat_v1_eval_zzzzzz_clean_001,naive_concat_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_23_naive_concat_v1_eval_zzzzzz_clean_001/run_manifest.json
run_2026_04_23_naive_concat_v1_eval_zzzzzzz_fix_001,naive_concat_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_23_naive_concat_v1_eval_zzzzzzz_fix_001/run_manifest.json
run_2026_04_26_code_only_v1_dev_001,code_only_v1,stub,stub-local,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_26_code_only_v1_dev_001/run_manifest.json
run_2026_04_26_full_method_v1_dev_001,full_method_v1,stub,stub-local,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_26_full_method_v1_dev_001/run_manifest.json
run_2026_04_26_naive_concat_v1_dev_001,naive_concat_v1,stub,stub-local,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_26_naive_concat_v1_dev_001/run_manifest.json
run_2026_04_26_text_only_v1_dev_001,text_only_v1,stub,stub-local,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_26_text_only_v1_dev_001/run_manifest.json
